Well	Sample
204	d +/+ 14807
205	d +/+ 14807
205	d +/+ 14807
206	NTC
206	NTC
207	NTC
207	NTC
208	NTC
208	NTC
209	wasser control ntc
209	wasser control ntc
210	wasser control ntc
210	wasser control ntc
211	wasser control ntc
211	wasser control ntc
