Well	Sample
196	c +/+ 14698
197	d +/+ 14698
197	d +/+ 14698
198	d +/+ 14698
198	d +/+ 14698
199	d +/+ 14698
199	d +/+ 14698
200	c +/+ 14668
200	c +/+ 14668
201	c +/+ 14668
201	c +/+ 14668
202	c +/+ 14668
202	c +/+ 14668
203	d +/+ 14668
203	d +/+ 14668
204	d +/+ 14668
204	d +/+ 14668
205	d +/+ 14668
205	d +/+ 14668
206	c +/+ 14807
206	c +/+ 14807
207	c +/+ 14807
207	c +/+ 14807
208	c +/+ 14807
208	c +/+ 14807
209	d +/+ 14807
209	d +/+ 14807
210	d +/+ 14807
210	d +/+ 14807
211	d +/+ 14807
211	d +/+ 14807
212	ntc 14702
212	ntc 14702
213	ntc 14702
213	ntc 14702
214	ntc 14702
214	ntc 14702
218	standard 20 ng
218	standard 20 ng
219	standard 20 ng
219	standard 20 ng
220	standard 20 ng
220	standard 20 ng
221	standard 10 ng
221	standard 10 ng
222	standard 10 ng
222	standard 10 ng
223	standard 10 ng
223	standard 10 ng
224	standard 1 ng
224	standard 1 ng
225	standard 1 ng
225	standard 1 ng
226	standard 1 ng
226	standard 1 ng
227	standard 0.1 ng
227	standard 0.1 ng
228	standard 0.1 ng
228	standard 0.1 ng
229	standard 0.1 ng
229	standard 0.1 ng
230	standard 0.01 ng
230	standard 0.01 ng
231	standard 0.01 ng
231	standard 0.01 ng
232	standard 0.01 ng
232	standard 0.01 ng
233	1 +/+ 14701
233	1 +/+ 14701
234	1 +/+ 14701
234	1 +/+ 14701
235	1 +/+ 14701
235	1 +/+ 14701
236	2 +/+ 14701
236	2 +/+ 14701
237	2 +/+ 14701
237	2 +/+ 14701
238	2 +/+ 14701
238	2 +/+ 14701
242	3 +/+ 14701
242	3 +/+ 14701
243	3 +/+ 14701
243	3 +/+ 14701
244	3 +/+ 14701
244	3 +/+ 14701
245	4 +/+ 14701
245	4 +/+ 14701
246	4 +/+ 14701
246	4 +/+ 14701
247	4 +/+ 14701
247	4 +/+ 14701
248	c -/- 14611
248	c -/- 14611
249	c -/- 14611
249	c -/- 14611
250	c -/- 14611
250	c -/- 14611
251	d -/- 14611
251	d -/- 14611
252	d -/- 14611
252	d -/- 14611
253	d -/- 14611
253	d -/- 14611
254	c -/- 14700
254	c -/- 14700
255	c -/- 14700
255	c -/- 14700
256	c -/- 14700
256	c -/- 14700
257	d -/- 14700
257	d -/- 14700
258	d -/- 14700
258	d -/- 14700
259	d -/- 14700
259	d -/- 14700
260	c -/- 14702
260	c -/- 14702
261	c -/- 14702
261	c -/- 14702
262	c -/- 14702
262	c -/- 14702
266	d -/- 14702
266	d -/- 14702
267	d -/- 14702
267	d -/- 14702
268	d -/- 14702
268	d -/- 14702
269	c -/- 14671
269	c -/- 14671
270	c -/- 14671
270	c -/- 14671
271	c -/- 14671
271	c -/- 14671
272	d -/- 14671
272	d -/- 14671
273	d -/- 14671
273	d -/- 14671
274	d -/- 14671
274	d -/- 14671
275	c -/- 14816
275	c -/- 14816
276	c -/- 14816
276	c -/- 14816
277	c -/- 14816
277	c -/- 14816
278	d -/- 14816
278	d -/- 14816
279	d -/- 14816
279	d -/- 14816
280	d -/- 14816
280	d -/- 14816
281	c +/+ 14673
281	c +/+ 14673
282	c +/+ 14673
282	c +/+ 14673
283	c +/+ 14673
283	c +/+ 14673
284	d +/+ 14673
284	d +/+ 14673
285	d +/+ 14673
285	d +/+ 14673
286	d +/+ 14673
286	d +/+ 14673
290	c +/+ 14698
290	c +/+ 14698
291	c +/+ 14698
291	c +/+ 14698
292	c +/+ 14698
292	c +/+ 14698
293	d +/+ 14698
293	d +/+ 14698
294	d +/+ 14698
294	d +/+ 14698
295	d +/+ 14698
295	d +/+ 14698
296	c +/+ 14668
296	c +/+ 14668
297	c +/+ 14668
297	c +/+ 14668
298	c +/+ 14668
298	c +/+ 14668
299	d +/+ 14668
299	d +/+ 14668
300	d +/+ 14668
300	d +/+ 14668
301	d +/+ 14668
301	d +/+ 14668
302	c +/+ 14807
302	c +/+ 14807
303	c +/+ 14807
303	c +/+ 14807
304	c +/+ 14807
304	c +/+ 14807
305	d +/+ 14807
305	d +/+ 14807
306	d +/+ 14807
306	d +/+ 14807
307	d +/+ 14807
